Date-Hour(NMT),FF,OT_1,PR,QSI,TA,UU
15.01.2017-17:00,0.6,0,1020.4,-6.6,-3.8,60
15.01.2017-18:00,1,0,1021.3,-7.1,-5,65
15.01.2017-19:00,0.8,0,1021.9,-7.1,-5.6,71
15.01.2017-20:00,1.3,0,1022.1,-7.3,-6.4,73
15.01.2017-21:00,0.8,0,1022.8,-7.2,-6.1,74
15.01.2017-22:00,1.2,0,1023.3,-7,-7.5,81
15.01.2017-23:00,1,0,1023.8,-6.9,-7.3,81
16.01.2017-00:00,0.6,0,1024.5,-6.6,-7.5,81
16.01.2017-01:00,0.7,0,1024.8,-6.6,-8.5,83
16.01.2017-02:00,0.8,0,1024.7,-6.6,-8.4,81
16.01.2017-03:00,1.2,0,1025.6,-6.5,-7.9,81
16.01.2017-04:00,0.8,0,1025.7,-6.2,-8,80
16.01.2017-05:00,0.6,0,1025.6,-6,-7,81
16.01.2017-06:00,1,0,1026,-6.8,-7.7,84
16.01.2017-07:00,0.6,0,1026.4,-6.5,-7.3,83
16.01.2017-08:00,0.8,0,1027,-6.9,-7,80
16.01.2017-09:00,1.9,0,1028,-5.4,-6.5,81
16.01.2017-10:00,1,19,1028.4,12.1,-5.8,76
16.01.2017-11:00,1.1,47,1028.7,70.1,-3,66
16.01.2017-12:00,1.5,60,1029,118.9,-2.3,63
16.01.2017-13:00,2,60,1029.1,135.1,-0.9,57
16.01.2017-14:00,1.2,60,1029.2,115.6,-1.1,67
16.01.2017-15:00,0.5,60,1029.3,67.6,-1.8,68
16.01.2017-16:00,0.1,42,1029.4,12.8,-2.7,69
16.01.2017-17:00,0.9,0,1029.7,-6.9,-3.8,78
16.01.2017-18:00,0.5,0,1030.2,-6.8,-5.4,84
16.01.2017-19:00,1.7,0,1030.4,-7.2,-6,84
16.01.2017-20:00,1,0,1030.7,-7.3,-6.7,86
16.01.2017-21:00,0.3,0,1030.8,-6.3,-6.2,86
16.01.2017-22:00,0.8,0,1031.1,-6.7,-6.2,87
16.01.2017-23:00,0.7,0,1031.2,-6.3,-6.2,87
17.01.2017-00:00,0.8,0,1030.9,-5.9,-5.6,85
17.01.2017-01:00,1.1,0,1030.6,-5.8,-5,84
